0,0,"Maria was learning to add numbers. She liked to add numbers. It was easy to add numbers. She could add one and one. She knew that one and one are two. She knew that two and two are four. She knew that three and three are six. But that was it. She didn't know what four and four are. She asked her mom. Her mom told her that four and four are eight. ""Oh, now I know,"" Maria said. ""I am four years old now. In four more years, I will be eight."" Maria was a fast learner. She wasn't a slow learner."
0,1,It was New Year's Day. He lived in Las Vegas. He drove over to a casino. He walked over to a roulette table. He bought one chip for $100. He flipped a coin. He caught the coin. It was heads. He put the $100 chip on red. The dealer spun the roulette wheel. The wheel went round and round. The dealer pushed the silver ball. The ball went round and round. The wheel slowed down. The ball slowed down. The ball dropped into a red slot. He won! The dealer gave him a $100 chip. He gave the dealer a $10 tip. He cashed in both his chips. He went home. He felt good. It was going to be a good year.
0,2,Soccer is a fun game. It is very popular. It is popular all over the world. It is fun to watch. It is fun to play. It is a simple game. There are two teams. They play on a big grassy field. There is one ball. There are two goals with nets. Each team tries to kick the ball into the other team's net. The players cannot use their hands. They cannot touch the ball with their hands. They use their feet to move the ball. They use their chests to move the ball. They use their heads to move the ball. The players run back and forth. They slide on the grass. They crash into one another. They play to win.
2,0,Dad took his son Chris to the baseball game. The Los Angeles Dodgers were playing the San Francisco Giants. The Dodgers were the home team. The Giants were the visiting team. Dad and Chris walked into Dodger Stadium. Many people were there. Most of them wanted to see the Dodgers win. They wanted to see the Giants lose. Dad and Chris found their seats. They sat down. The game had already started. Chris told his dad he was hungry. His dad bought two bags of peanuts for Chris. He bought two hot dogs for Chris. He bought a big soda for Chris. A foul ball came their way. People dived for the foul ball. They knocked Chris' soda over. His dad bought him another soda.
2,1,"Hi, I would like to know my credit balance.
Of course. May I have your credit card number?
Yes, it's 512879346. My name is John.
Alright, John. You currently have no dues on your credit card.
Really? I finally paid it off?
Yes, sir. Your balance is officially zero.
I must admit I am proud of myself!
Is there anything else you'd like me to check, sir?
Yes, can you change my card status from a college to normal account?
Of course, but you'll have to come to the bank to do that.
Alright, I'll be down first thing tomorrow.
Sounds good, sir. Have a good day."
2,2,"I'm so frustrated. I can't find any books on my research topic at my library.
Why don't you try a different library?
I don't want to waste gas money.
But you might find your book.
What library do you suggest?
I suggest the one near my house.
That is way too far for me.
They have a lot of books. That library has never disappointed me.
I have an idea! Why don't you borrow them for me?
I don't know about that. What if you lose the books?
I won't. I swear on my life.
Wow, you're so serious."
4,0,"Hi Samia,
Just a quick email to say that sounds like a great idea. Saturday is better for me because I'm meeting my parents on Sunday. So if that's still good for you, why don't you come here? Then you can see the new flat and all the work we've done on the kitchen since we moved in. We can eat at home and then go for a walk in the afternoon. It's going to be so good to catch up finally. I want to hear all about your new job!
Our address is 52 Charles Road, but it's a bit difficult to find because the house numbers are really strange here. If you turn left at the post office and keep going past the big white house on Charles Road, there's a small side street behind it with the houses 50–56 in. Don't ask me why the side street doesn't have a different name! But call me if you get lost and I'll come and get you.
Let me know if there's anything you do/don't like to eat. Really looking forward to seeing you!
See you soon!
Gregor"
4,1,"I had the most wonderful childhood. I grew up in San Diego, where it rains about two days a year, and it's always sunny and bright. I could ride my bike just about any day of the year, and had lots of friends. My best friend was George Kenny. George lived just a few houses down the block from me and we were the same age. Actually, I was about 28 days older than him – a fact that I always threw in his face. ""You must respect your elders,"" I would sometimes tell him. That usually got a nasty response from him. Anyway, George came up to me one day and said, ""Hey Richard, why don't we form a bicycle club?""
 
I thought about it for a while, and then he said, ""We could give ourselves a cool name and get hats and stickers and have lots of fun. What do you say?""  I immediately fell in love with the idea. ""You bet, Georgie Porgy!""  I used to call him that all the time even though I knew he hated it. Well before we knew it, we got a couple of other guys together and came up with the best name for a club ever. We were the ""White Skulls.""  Why we chose that name, I'll never know, but all the kids seemed to like it, so I was okay with it, too.
The four of us went to the local bike shop and we each picked out a skull decal to put on our bikes. I chose a green one, while Georgie Porgy picked red. He shouted: ""I am the red skull! I am the king of the club! If you don't like it, try to take it from me!""  George was a pretty big guy, so no one argued with him. We rode our bikes everywhere and had a great summer. That's how we formed the greatest bike club ever!"
4,2,"Brian Nelson got his first skateboard when he was 9 years old. He started skating right away. He had friends at school that knew how to skate, so he would go to their houses after school. As time went by, Brian got better and better at skating. He could do a lot of tricks on his skateboard, but what Brian really loved was jumping over stairs with his skateboard. His record was 15 stairs, but he wanted to beat that record. Brian and his friends went to the Hollywood 18, where a lot of skaters go to make skating videos.
 
Brian knew that if he jumped over those stairs, he would become a legend with his friends. As he went up to the stairs, he started counting each stair one by one. He wanted to make sure they passed 15. On his first try, Brian jumped off his skateboard and landed on the grass next to the stairs. He wanted to try again, but he was scared. He finally got the nerve to try it again. This time he actually jumped over some stairs. Unfortunately, he didn't pass the 16th step in the staircase. He fell off his board, but he didn't get that hurt. Some girls were looking at Brian, and asked him if he could do it again. Brian knew he had to get it this time.
As Brian prepared for his jump, he kept looking at the girls that had gathered to see him. He was breathing heavy, but he knew he could do it. The time had arrived. Brian was ready to try it again. He pushed off the pavement, and started pedaling his skateboard faster and faster. He got to the top of the stairs and then he jumped. Brian was in the air for about 5 seconds and then he landed. The girls all applauded, and then Brian stopped his skateboard. He had done it. He beat his record. All the girls went up to give him a hug, but they all stayed away because he smelled. He started laughing. Everyone laughed and congratulated Brian.
"
6,0,"Bob knew that the house he just purchased was in a historically rough neighborhood. There was a history of gang violence, including shootings, in the neighborhood. That is probably why the house was so inexpensive. The previous owners of the house had it foreclosed. Then some house flippers bought the property for a very cheap price, renovated it, raised the sales price, and sold it. Bob thought the house was still a good bargain though.
 
After he moved in, Bob began to see that many of the renovations to the home were merely cosmetic. While the house flippers put in new stainless steel appliances in the kitchen, they hadn't upgraded the electrical work. This meant that every time Bob ran the dishwasher and the coffee machine, all the power in the house went out. Bob spent over $1,000 dollars to have the house rewired. The new carpets that the house flippers installed was put over the original hardwood floors. Bob decided to rip out the ugly oatmeal colored carpets and refinish the old floors. That was another $3,000.
The house was an old stucco house that got very hot in the summer and cold in the winter. The house flippers installed some cheap windows. Bob hired a contractor to put in new double pane storm windows and install ceiling fans. That was another few thousand dollars. Bob wanted to make the house energy efficient, so he leased solar panels that were installed on the roof. This not only lowered his monthly electric bill, but added value to the home.
Within two years, all the changes Bob made to the house totaled more than $20,000. In that time the value of his home rose almost $100,000. Bob felt he made a good investment. He knew when he sold the home, he would get more money than he paid.
"
6,1,"At precisely 6 a.m., the sound of the alarm clock pierces the air. Sandy drags herself out of bed and begins her morning routine with a quick shower. After her shower, she prepares a simple breakfast. Grabbing a clean bowl from the dishwasher, she empties into it a packet of instant oatmeal. She pours in a cup of milk, stirs and heats the mixture in the microwave. While waiting for her oatmeal to cook, she dresses for the day, mindful of the weather.
 
Fully dressed now, she removes her oatmeal from the microwave, which has now cooled just enough to suit her taste. It is her favorite flavor, apple cinnamon. As she savors each bite, she is reminded of her mother, who always made sure Sandy ate a warm breakfast before leaving the house in the morning.
Checking the time on her phone, she hurriedly swallows the last few mouthful of oatmeal before heading out. As she steps into the street, a gust of wind blows back her hair. She covers her head with the hood of her coat, tightens the scarf around her neck, and braces for her walk to the train station.
After settling into her seat on the train, memories of her mother stir again. She takes out her phone and texts: ""Hey mom, thanks for the scarf you knit me. It came in real handy this morning. Love always."""
6,2,"The Mexican national soccer team had just won a match against Croatia in the World Cup. This meant that Mexico advanced to the next round. Mexican soccer fans worldwide are known for loyalty to their team. After this win, however, some wonder if they took their loyalty too far.
 
In Huntington Park, California, fans took to the street after the win. The afternoon crowd grew to almost 200 people. The fans waved flags, yelled, honked their cars, and jumped around the streets. The crowd was so big that they blocked traffic. This caused traffic jams in the area. While most of these fans were just overzealous, a handful were intoxicated. Instead of just celebrating, they began throwing bottles. Some of the fans even began rocking cars parked on the streets. Police were called to the scene. Not only did the local police department send in patrol cars, two police helicopters flew overhead and some police on horseback began to try to disperse the crowd. Someone threw a bottle at a police horse. Police urged shop owners to close their businesses. The police arrested five people. Thankfully no one was hurt.
When Mexico played again the following week, police patrolled the streets in advance. This time they were going to be prepared if Mexico won again. Mexico was playing against the Netherlands. The Dutch team won 2-1. Mexican fans in Huntington Park still took to the streets despite the loss. This time the police were waiting in riot gear. The fans waved flags, chanted, honked horns, rocked cars and even lit firecrackers but no one threw bottles. The police didn't arrest anyone. They did have to close off three blocks to traffic, though. The police were probably secretly glad that Mexico didn't win. In four years, when the next World Cup happens, they'll worry about it again."
8,0,"There can be different kinds of entertainment at a wedding reception. Usually there will be a Master of Ceremonies, or MC, who helps move the reception along by making announcements of what will happen next. For example, the MC will announce when the newly married couple enters the reception hall, and all the guests will stand up and applaud. A wedding reception usually has music and guests are expected to dance. The music can be provided by a DJ or by a live band. Sometimes the DJ or live band will accept requests from guests to play a certain song. When the newly married couple enters the reception, they will share a dance by themselves to a song they picked beforehand. Usually the song is something romantic and represents the couple's love for one another. Sometimes the bride will share a dance with her father and the groom will share a dance with his mother. After these special dances, the guests are invited to the dance floor.
 
Food at a wedding reception can be buffet style, where everyone serves himself or herself, or it can be a sit-down meal served by waiters. Guests get to choose among a meat, chicken or fish deal. Guests generally make their choices when they respond to the initial wedding invitations.
During a wedding, guests shouldn't expect to spend too much time with the bride and groom. The new couple is usually very busy greeting all of their guests. Sometimes the couple doesn't even get a chance to eat. What almost every newly married couple does get to eat at their wedding reception is the wedding cake. The bride and groom traditionally cut through the wedding cake together, and then feed the other person a bite."
